"lsd","lat","lng"
"01-13-011-19W3",49.9041,-108.465
"07-18-005-04W2",49.3828,-102.5308
"12-16-016-29W3",50.3485,-109.9435
"12-23-005-31W1",49.4086,-101.5704
"12-14-007-01W2",49.5608,-102.0486
"03-26-016-16W3",50.3702,-108.1043
"02-16-031-26W3",51.6507,-109.6281
"11-04-013-24W3",50.057,-109.2272
"10-11-013-26W3",50.0715,-109.4491
"10-14-031-23W3",51.6577,-109.1554
"11-14-031-23W3",51.6577,-109.1612
"09-24-004-18W2",49.3135,-104.2962
"05-23-006-11W2",49.4846,-103.3938
"01-27-008-08W2",49.6702,-103.0029
"04-06-011-06W2",49.8742,-102.8223
"04-02-008-11W2",49.6119,-103.4036
"03-14-031-23W3",51.6505,-109.1612
"01-07-001-12W2",49.0159,-103.5898
"16-20-050-25W3",53.3343,-109.6165
"01-35-006-11W2",49.5101,-103.3771
"07-28-032-23W3",51.7706,-109.2026
"15-19-048-20W3",53.1598,-108.9146
"15-20-031-20W3",51.6758,-108.8009
"14-08-001-26W3",49.0266,-109.4482
"06-33-018-25W3",50.5633,-109.387
"11-20-007-05W2",49.5754,-102.6526
"06-11-015-17W3",50.2427,-108.242
"02-01-016-27W3",50.312,-109.5884
"01-20-013-19W3",50.0934,-108.556
"06-33-014-28W3",50.2136,-109.7735
"04-21-006-13W2",49.4809,-103.7075
"10-05-016-25W3",50.3192,-109.405
"02-13-006-15W2",49.4665,-103.8983
"11-24-030-27W3",51.5858,-109.6751
"02-10-005-32W1",49.3719,-101.7175
"12-03-031-23W3",51.6286,-109.1907
"06-01-039-27W3",52.3239,-109.759
"13-20-013-24W3",50.1042,-109.2556
"04-12-002-14W2",49.1035,-103.7622
"12-21-007-10W2",49.5748,-103.3132
"11-19-048-20W3",53.1561,-108.9206
"08-23-013-25W3",50.097,-109.307
"15-26-018-17W3",50.5558,-108.236
"05-30-022-20W3",50.898,-108.7718
"08-18-011-03W2",49.9071,-102.3959
"01-01-033-24W3",51.7961,-109.2677
"10-01-050-24W3",53.287,-109.3788
"01-34-008-08W2",49.6847,-103.0029
"04-20-051-24W3",53.4118,-109.5169
"15-22-044-27W3",52.8111,-109.835
"02-12-004-34W1",49.2813,-101.9432
"14-33-001-02W2",49.0856,-102.2219
"07-31-007-08W2",49.6006,-103.0762
"07-30-007-08W2",49.585,-103.0763
"14-14-016-25W3",50.3519,-109.3418
"16-10-004-20W3",49.2889,-108.6096
"03-33-008-06W2",49.6846,-102.7656
"01-10-017-18W3",50.4138,-108.3908
"06-26-031-27W3",51.6833,-109.7284
"03-07-049-23W3",53.2071,-109.3605
"01-31-012-25W3",50.0351,-109.398
"15-29-005-15W2",49.4191,-103.9879
"02-26-022-22W3",50.8944,-108.9451
"04-04-043-25W3",52.6695,-109.5808
"10-05-023-18W3",50.9307,-108.4779
"02-33-001-34W1",49.0748,-101.9751
"04-18-031-21W3",51.6505,-108.978
"05-35-030-20W3",51.6113,-108.7196
"06-12-019-25W3",50.5923,-109.3431
"10-09-013-24W3",50.0715,-109.2216
"16-01-017-25W3",50.4102,-109.3076
"11-20-014-19W3",50.188,-108.5671
"14-32-019-24W3",50.6578,-109.297
"06-36-013-24W3",50.1261,-109.159
"04-28-027-18W3",51.331,-108.4853
"06-22-012-25W3",50.0096,-109.341
"14-03-002-02W2",49.1003,-102.1995
"06-29-012-25W3",50.0243,-109.3865
"11-03-051-24W3",53.3753,-109.4617
"02-30-030-19W3",51.5932,-108.6612
"15-16-013-24W3",50.0898,-109.2216
"02-16-009-07W2",49.7284,-102.8956
"16-15-033-26W3",51.8361,-109.5986
"11-24-047-28W3",53.0687,-109.9699
"14-07-010-09W2",49.8119,-103.2172
"01-01-031-28W3",51.6219,-109.8352
"07-26-033-28W3",51.858,-109.8646
"01-08-015-29W3",50.2392,-109.9494
"05-32-031-27W3",51.6978,-109.8054
"03-12-006-12W2",49.4518,-103.5002
"13-20-008-10W2",49.6664,-103.3358
"16-35-031-25W3",51.705,-109.4331
"06-16-006-13W2",49.47,-103.702
"11-02-005-12W2",49.3572,-103.5226
"10-14-006-02W2",49.4738,-102.1718
"10-21-039-27W3",52.3712,-109.825
"13-22-006-09W2",49.4918,-103.1472
"16-21-007-08W2",49.5787,-103.0255
"12-25-033-28W3",51.8616,-109.8526
"01-08-006-10W2",49.4519,-103.3099
"01-24-005-34W1",49.3993,-101.9379
"08-24-013-18W3",50.0969,-108.3285
"13-04-013-24W3",50.0606,-109.2328
"05-10-005-31W1",49.3755,-101.5929
"11-30-033-27W3",51.8616,-109.8232
"08-32-010-06W2",49.8629,-102.777
"13-23-008-07W2",49.6663,-102.8614
"11-32-039-26W3",52.4003,-109.7112
"09-33-015-17W3",50.3046,-108.2764
